question,correct_answer,incorrect_answer
what is general chu chicken,"General Tso's chicken (sometimes Governor Tso's chicken, General Gau's chicken, General Tao's chicken, General Tsao's chicken, General Tong's chicken, General Tang's chicken or simply General's Chicken) is a sweet , slightly spicy , deep-fried chicken dish that is popularly served in North American Chinese restaurants.","The dish is reported to have been introduced to New York City in the early 1970s as an example of Hunan cooking , though it is not typical of Hunanese cuisine, which is traditionally very spicy and rarely sweet."
what was the city of Mithridates,"Mithridates VI or Mithradates VI (), from Old Persian Mithradatha, ""gift of Mithra ""; 134–63 BC, also known as Mithradates the Great (Megas) and Eupator Dionysius, was king of Pontus and Armenia Minor in northern Anatolia (now Turkey ) from about 120–63 BC.",He was also the greatest ruler of the Kingdom of Pontus.
who is basketball star antoine walker,"Antoine Devon Walker (born August 12, 1976) is an American former professional basketball player.",He was drafted with the sixth overall pick in the 1996 NBA Draft out of the University of Kentucky and played in the NBA from 1996 to 2008.
what does righteousness mean,"It is an attribute that implies that a person's actions are justified, and can have the connotation that the person has been ""judged"" or ""reckoned"" as leading a life that is pleasing to the god/s portrayed in these belief systems.","He used it to translate the Hebrew root צדקים (TzDYQ), tzedek , which appears more than five hundred times in the Hebrew Bible , and the Greek word (dikaios), which appears more than two hundred times in the New Testament ."
WHere is a famous alluvial plain,"The Mississippi River Alluvial Plain is an alluvial plain created by the Mississippi River on which lies parts of seven U.S. states , from southern Louisiana to southern Illinois .","It is the largest ecoregion of Louisiana, covering , and including all of the historic Mississippi River floodplain ."
what is the si unit of pressure,Everyday pressures are often stated in kilopascals (1 kPa = 1000 Pa).,A pressure of 1 Pa is small; it approximately equals the pressure exerted by a dollar bill resting flat on a table.
what is the great basin area,The Great Basin is the largest area of endorheic watersheds in North America .,"The region spans several physiographic divisions, biomes / ecoregions , and deserts ."
what is in a tequila sunrise?,"The Tequila Sunrise is a cocktail made in two different ways, the original ( tequila , crème de cassis , lime juice and soda water ) and the more popular concoction ( tequila , orange juice , and grenadine syrup ).","Originally served at the Arizona Biltmore Hotel , where it was created by Gene Sulit in the 1930s or 1940s, the cocktail is named for the way it looks after it has been poured into a glass."
what is the function of the liver,"It has a wide range of functions, including detoxification , protein synthesis , and production of biochemicals necessary for digestion .","The liver's highly specialized tissues regulate a wide variety of high-volume biochemical reactions, including the synthesis and breakdown of small and complex molecules, many of which are necessary for normal vital functions."
what is the formula for calcium nitrate,"Calcium nitrate, also called Norgessalpeter (Norwegian saltpeter), is the inorganic compound with the formula Ca(NO3)2.",This colourless salt absorbs moisture from the air and is commonly found as a tetrahydrate .
where is the 2011 mlb all star game location,"The event was held on Tuesday, July 12, 2011 at Chase Field in Phoenix, Arizona , home of the National League Arizona Diamondbacks .","With a combination of injuries and rule enforcements, a record 84 players were named to the All-Star rosters."
what is customary at shiva,"This state lasts for seven days, during which family members traditionally gather in one home (preferably the home of the deceased) and receive visitors.",This garment is worn throughout shiva.
what is in a hot toddy,"A hot toddy, also hot totty, and hot tottie, is typically a mixed drink made of liquor and water with sugar and spices and served hot.","They were once believed to relieve the symptoms of the cold and flu — in How to Drink, Victoria Moore describes the drink as ""the vitamin C for health, the honey to soothe, the alcohol to numb"" — but the American Lung Association recommends avoiding treating the common cold with alcoholic beverages as they cause dehydration ."
what is name of national anthem song of switzerland,"The Swiss Psalm (, , , ) is the national anthem of Switzerland .",The Federal Council declined however on numerous occasions to accept the psalm as the official anthem.
what was the first year of kentucky derby,"Unlike the Preakness and Belmont Stakes, which took hiatuses in 1891-1893 and 1911-1912 respectively, the Kentucky Derby has been run every consecutive year since 1875.",Colts and geldings carry and fillies .
what is the color puce,"Puce (often misspelled as ""puse"", ""peuse"" or ""peuce"") is defined in the United States as a brownish-purple color.","In the UK, it is defined as a purple brown or a dark red."
who is Dr. JB Danquah,"Nana Joseph Kwame Kyeretwie Boakye Danquah (December 1895 – 4 February 1965) was a Ghanaian statesman , pan-Africanist , scholar and historian .","During his political career, he was one of the primary opposition leaders to Ghanaian president and independence leader Kwame Nkrumah ."
where is big pokey from,"Milton Powell (born December 4, 1977), better known by his stage name Big Pokey, is a rap artist from Houston, Texas and is one of the original members of the Screwed Up Click .","In 2001, he collaborated with the Wreckshop Wolfpack for Collabo and then returned in 2002 with another solo album, "" Da Sky's Da Limit ""."
what is the erb/heart,"In cardiology, Erb's point refers to the third intercostal space on the left sternal border where S2 is best auscultated .",It is essentially the same location as what is referred to with left lower sternal border (LLSB).
what is the fundamental theorem of calculus used for,"The first part of the theorem, sometimes called the first fundamental theorem of calculus, shows that an indefinite integration can be reversed by a differentiation.",The first published statement and proof of a restricted version of the fundamental theorem was by James Gregory (1638–1675).
what is nicki minaj real name,"Onika Tanya Maraj (born December 8, 1982), known by her stage name Nicki Minaj (), is a Trinidadian-born American rapper, singer, songwriter and television personality.","Born in Saint James , Port of Spain and raised in Jamaica, Queens , New York City , she enrolled in performing art schools as a child."
who is suicide tna,Suicide is a fictional character from TNA Impact!,"Though having been primarily portrayed by Frankie Kazarian , Christopher Daniels took up the mantle for a time in early 2009 and went on to win the X Division Championship ."
who is st patty?,"It is named after Saint Patrick ( AD 385–461), the most commonly recognised of the patron saints of Ireland .","Saint Patrick's Day or the Feast of Saint Patrick (, ""the Day of the Festival of Patrick"") is a cultural and religious holiday celebrated on 17 March."
when was Mary Anderson born,"Mary Anderson (1866–1953) was a real estate developer, rancher, viticulturist and inventor of the windshield wiper blade.","In November 1903 Anderson was granted her first patent for an automatic car window cleaning device controlled inside the car, called the windshield wiper."
what is stent surgery,"In the technical vocabulary of medicine , a stent is a mesh 'tube' inserted into a natural passage/conduit in the body to prevent or counteract a disease-induced, localized flow constriction.",The term may also refer to a tube used to temporarily hold such a natural conduit open to allow access for surgery.
where is the tibia location,"The tibia (), shinbone or shankbone, is the larger and stronger of the two bones in the leg below the knee in vertebrates (the other being the fibula ), and connects the knee with the ankle bones .",It is commonly recognized as the strongest weightbearing bone of the body.
What is the prostate for?,"The prostate (from Greek προστάτης – prostates, literally ""one who stands before"", ""protector"", ""guardian"") is a compound tubuloalveolar exocrine gland of the male reproductive system in most mammals .","It differs considerably among species anatomically , chemically , and physiologically ."
where is the sermon on the mount in the bible,"The Sermon on the Mount ( anglicized from the Matthean Vulgate Latin section title: Sermo in monte) is a collection of sayings and teachings of Jesus , which emphasizes his moral teaching found in the Gospel of Matthew (chapters 5 , 6 and 7 ).","It includes some of the best known teachings of Jesus, such as the Beatitudes , and the widely recited Lord's Prayer ."
what is sado masochism,Sadomasochism is the giving and/or receiving of pleasure—often sexual—from acts involving the infliction or reception of pain or humiliation .,"The acronym S&M is often used for sadomasochism, although practitioners themselves normally drop the & and use the acronym SM or S/M. Sadomasochism is not considered a clinical paraphilia unless such practices lead to clinically significant distress or impairment for a diagnosis."
what is the oath of allegiance of the united states,"The United States Oath of Allegiance (officially referred to as the ""Oath of Allegiance,"" 8 C.F.R. Part 337 (2008)) is an oath that must be taken by all immigrants who wish to become United States citizens .",The current oath is as follows:
what is the la tour de france,"The Tour de France () is an annual multiple stage bicycle race primarily held in France , while also occasionally making passes through nearby countries.","The Tour is a UCI World Tour event, which means that the teams that compete in the race are mostly UCI ProTeams , with the exception of the teams that the organizers invite."
what is the social norm approach?,"The social norms approach, or social norms marketing, is an environmental strategy gaining ground in health campaigns.","While conducting research in the mid-1980s, two researchers, H.W. Perkins and A.D. Berkowitz , reported that students at a small U.S. college held exaggerated beliefs about the normal frequency and consumption habits of other students with regard to alcohol."
what city was the convention when gerald ford was nominated,"Held in Kemper Arena in Kansas City , Missouri , the convention nominated President Gerald Ford for a full term, but only after narrowly defeating a strong challenge from former California Governor Ronald Reagan .","The 1976 Republician National Convention was a United States political convention of the Republican Party that met from August 16 to August 19, 1976 to select the party's nominee for President ."
what is doxycycline hyclate used for,"Doxycycline is a member of the tetracycline antibiotics group, and is commonly used to treat a variety of infections .",Generic 100 mg doxycycline capsules
when was the tacoma bridge collapse?,"The bridge became known for its pitching deck, and collapsed into Puget Sound the morning of November 7, 1940, under high wind conditions.","Tolls were charged on the bridge for the entire four-month service life of the original span, as well as the first 15 years of the 1950 bridge."
what is brown flax,It is a food and fibre crop that is grown in cooler regions of the world.,"New Zealand flax is not related to flax but was named after it, as both plants are used to produce fibers."
who was mr big on sex and the city,"John James ""Mr. Big"" Preston is a recurring fictional character in the HBO series Sex and the City , portrayed by Chris Noth .",Big appeared in Comcast 's list of TV's Most Intriguing Characters.
what is the actresses name that played in walk that line?,"The film was nominated for five Academy Awards including Best Actor (Joaquin Phoenix), Best Actress (Reese Witherspoon, which she won), and Best Costume Design ( Arianne Phillips ).",Walk the Line is a 2005 American biographical drama film directed by James Mangold and based on the early life and career of country music artist Johnny Cash .
what is the definition of a map,"A map is a visual representation of an areaa symbolic depiction highlighting relationships between elements of that space such as objects , regions , and themes .","Many maps are static two-dimensional, geometrically accurate (or approximately accurate) representations of three-dimensional space , while others are dynamic or interactive, even three-dimensional."
when was How the west was won filmed?,How the West Was Won is a 1962 American epic - Western film.,The screenplay was written by John Gay (uncredited) and James R. Webb .
who is on blink 182 album cover,The cover artwork for Enema of the State features porn star Janine Lindemulder famously clad in a nurse uniform.,Enema of the State is the third studio album by American rock band Blink-182 .
what was the actress who played the pink power ranger,"She was played by actress Amy Jo Johnson during the first three seasons of the show, plus on the two feature films of the franchise.",Kimberly spent three years as a Ranger before giving up her powers for good to Zordon's new alumna Katherine Hillard .
where is al jazeera based,"Al Jazeera ( ' , literally ""The Island"", abbreviating "" The [Arabian] Peninsula ""), also known as Aljazeera and JSC (Jazeera Satellite Channel), is a broadcaster owned by the privately held Al Jazeera Media Network and headquartered in Doha , Qatar .","The original Al Jazeera channel's willingness to broadcast dissenting views, for example on call-in shows, created controversies in the Arab States of the Persian Gulf ."
what is the purpose of child support?,"In family law and public policy, child support (or child maintenance) is an ongoing, periodic payment made by a parent for the financial benefit of a child following the end of a marriage or other relationship.","Where there is joint custody, the child is considered to have two custodial parents and no non-custodial parents, and a custodial parent with a higher income (obligor) may be required to pay the other custodial parent (obligee)."
where was martin luther king shot?,"King was assassinated on April 4, 1968, in Memphis, Tennessee .","In 1965, he and the SCLC helped to organize the Selma to Montgomery marches and the following year, he took the movement north to Chicago ."
where is La Palma africa,La Palma () is the most north-westerly of the Canary Islands .,"The total population is about 86,000, of which 18,000 (2003 data) live in the capital, Santa Cruz de la Palma and about 20,000 (2004 data) in Los Llanos de Aridane ."
where was hillary clinton born,"A native of Illinois , Hillary Rodham first attracted national attention in 1969 for her remarks as the first student commencement speaker at Wellesley College .","Clinton introduced the Quadrennial Diplomacy and Development Review process to the State Department, seeking to maximize departmental effectiveness and promote the empowerment of women worldwide, and used "" smart power "" as the strategy for asserting U.S. leadership and values in the world."
Who was Daniel J Daly?,"Sergeant Major Daniel Joseph ""Dan"" Daly (November 11, 1873 – April 27, 1937) was a United States Marine and one of only nineteen men (including seven Marines) to have received the Medal of Honor twice .","Do you want to live forever?"""
what is the type of democracy in which all citizens have the right to make  government decisions,Democracy is a form of government in which all eligible citizens have an equal say in the decisions that affect their lives.,A woman casts her vote in the second round of the French presidential election of 2007
where was the first real roller coaster,"The Scenic Railway at Luna Park, Melbourne , is the world's oldest continually-operating roller coaster, built in 1912.",Two or more cars hooked together are called a train .
where was martin luther born,"Martin Luther (; 10 November 1483 – 18 February 1546) was a German monk , former Catholic priest , professor of theology and seminal figure of a reform movement in sixteenth century Christianity , subsequently known as the Protestant Reformation .","In his later years, in deteriorating health, Luther became increasingly antisemitic , writing that Jewish homes should be destroyed, their synagogues burned, money confiscated and liberty curtailed."
"what is the concept of ""wellness"" ?","Wellness is generally used to mean a healthy balance of the mind, body and spirit that results in an overall feeling of well-being .",These kinds of wellness programs offer alternative medicine techniques to improve wellness.
what is the measurements of saturn's moons,"Saturn has 62 moons with confirmed orbits, 53 of which have names and only 13 of which have diameters larger than 50 kilometers.",The regular satellites are traditionally named after Titans and Titanesses or other figures associated with the mythological Saturn .
who is the founder of twitter,"Twitter was created in March 2006 by Jack Dorsey and by July, the social networking site was launched.","Twitter is an online social networking service and microblogging service that enables its users to send and read text-based messages of up to 140 characters , known as ""tweets""."
what is google openid,"OpenID is an open standard that allows users to be authenticated by certain co-operating sites (known as Relying Parties or RP) using a third party service, eliminating the need for webmasters to provide their own ad hoc systems and allowing users to consolidate their digital identities .",The OpenID logo
what is atherosclerotic heart disease,Atherosclerosis (also known as arteriosclerotic vascular disease or ASVD) is a condition in which an artery wall thickens as a result of the accumulation of fatty materials such as cholesterol and triglyceride .,"These complications of advanced atherosclerosis are chronic, slowly progressive and cumulative."
what was the name of the uss john kennedy before,"USS John F. Kennedy (CV-67) (formerly CVA-67) is the only ship of her class, a subclass of the Kitty Hawk-class aircraft carrier , and the last conventionally powered carrier built for the United States Navy .","She is berthed at the NAVSEA Inactive Ships On-site Maintenance facility in Philadelphia, Pennsylvania ."
what were 3 important things that douglas MacArthur did?,"He officially accepted Japan's surrender on 2 September 1945, and oversaw the occupation of Japan from 1945 to 1951.",MacArthur was recalled to active duty in 1941 as commander of United States Army Forces in the Far East .
what is homebrew for wii,Wii homebrew refers to the reuse of Nintendo 's Wii game console to run software that has not been authorized by Nintendo .,It achieves this by defeating the Wii 's copy protection and code signing measures.
what is korean money called,The won () ( sign : ₩; code : KRW) is the currency of South Korea .,"A single won is divided into 100 jeon, the monetary subunit."
what is in fruitcake,"Fruit cake (or fruitcake) is a cake made with chopped candied fruit and/or dried fruit , nuts , and spices , and (optionally) soaked in spirits .","In the United Kingdom , certain rich versions may be iced and decorated ."
what is the latest season of psych,"Psych began its seventh season on February 27, 2013.",It is produced by Franks and Tagline Television's Chris Henze & Kelly Kulchak.
what is the main component of vaccines,"The agent stimulates the body's immune system to recognize the agent as foreign, destroy it, and ""remember"" it, so that the immune system can more easily recognize and destroy any of these microorganisms that it later encounters.",Jonas Salk in 1955 holds two bottles of a culture used to grow polio vaccines.
how is jerky made,"Modern manufactured jerky is normally marinated in a seasoned spice rub or liquid, and dried, dehydrated or smoked with low heat (usually under 70 °C/160 °F).","All that is needed to produce basic ""jerky"" is a low-temperature drying method, and salt to inhibit bacterial growth."
who are all of the jonas brothers,"Formed in 2005, they have gained popularity from the Disney Channel children's television network and consists of three brothers from Wyckoff, New Jersey ; Paul Kevin Jonas II , Joseph Adam Jonas and Nicholas Jerry Jonas .","The band has released four albums: It's About Time , Jonas Brothers , A Little Bit Longer , and Lines, Vines and Trying Times , with an upcoming fifth studio album due for release in 2013."
who is mary matalin married to,She is married to Democratic political consultant James Carville .,"Matalin has been chief editor of Threshold Editions , a conservative publishing imprint at Simon & Schuster , since March 2005."
where is the brisket from,Brisket is a cut of meat from the breast or lower chest of beef or veal .,The brisket muscles include the superficial and deep pectorals.
what did tycho brahe do,Tycho was well known in his lifetime as an astronomer and alchemist .,"In his De nova stella (On the new star) of 1573, he refuted the Aristotelian belief in an unchanging celestial realm ."
how old r Dylan and Cole Sprouse,"Dylan Thomas Sprouse and Cole Mitchell Sprouse (born August 4, 1992) are American actors.","As a result of the series' success, the media has termed them ""heartthrobs"" and ""overwhelming draws"" among preteen and teen audiences."
what does s.h.i.e.l.d stand for,"The acronym originally stood for Supreme Headquarters, International Espionage, Law-Enforcement Division.","Created by Stan Lee and Jack Kirby in Strange Tales #135 (Aug. 1965), it often deals with superhuman threats."
how are antibodies used in,"An antibody (Ab), also known as an immunoglobulin (Ig), is a large Y-shaped protein produced by B-cells that is used by the immune system to identify and neutralize foreign objects such as bacteria and viruses .",Each antibody binds to a specific antigen ; an interaction similar to a lock and key.
what day is st. patricks day,"Saint Patrick's Day or the Feast of Saint Patrick (, ""the Day of the Festival of Patrick"") is a cultural and religious holiday celebrated on 17 March.","It is also widely celebrated by the Irish diaspora around the world; especially in Britain, Canada, the United States, Argentina, Australia and New Zealand."
how many books are included in the protestant Bible?,Christian Bibles range from the sixty-six books of the Protestant canon to the eighty-one books of the Ethiopian Orthodox Tewahedo Church canon.,"The first part of Christian Bibles is the Old Testament , which contains, at minimum, the twenty-four books of the Hebrew Bible divided into thirty-nine books and ordered differently from the Hebrew Bible."
what became of rich on price is right,"Fields can also be heard on the radio on K-EARTH 101 KRTH , KNX-AM and KFWB in Los Angeles.","Richard Wayne ""Rich"" Fields is an American broadcaster, spokesman, announcer and meteorologist , best known for being the announcer of the American version of The Price Is Right from 2004–2010."
how did women's role change during the war,"Whether it was on the home front or the front-lines, for civilian or enlisted women, the World Wars started a new era for women's opportunities to contribute in war and be recognized for efforts outside of the home.","In many countries the need for female participation in the First World War was seen as almost necessary, as unprecedented numbers of men were wounded and killed."
how many seasons were there of the wire,"The Wire premiered on June 2, 2002, and ended on March 9, 2008, comprising 60 episodes over five seasons.",Each season of The Wire focuses on a different facet of the city of Baltimore.
how many humps on a camel,"The two surviving species of camel are the dromedary , or one-humped camel, which is native to the Middle East and the Horn of Africa ; and the Bactrian , or two-humped camel, which inhabits Central Asia .","Both species have been domesticated; they provide milk , meat, hair for textiles or goods such as felted pouches, and are working animals ."
what can be powered by wind,"Wind power is the conversion of wind energy into a useful form of energy, such as using wind turbines to make electrical power , windmills for mechanical power, wind pumps for water pumping or drainage , or sails to propel ships.",Small onshore wind farms provide electricity to isolated locations.
what county is jacksonville florida in,"It is the county seat of Duval County , with which the city government consolidated in 1968.","The area was originally inhabited by the Timucua people, and in 1564 was the site of the French colony of Fort Caroline , one of the earliest European settlements in what is now the continental United States."
what does a liquid oxygen plant look like,The blue color of liquid oxygen in a dewar flask,"Liquid oxygen — abbreviated LOx, LOX or Lox in the aerospace , submarine and gas industries — is one of the physical forms of elemental oxygen ."
how a water pump works,"Pumps operate by some mechanism (typically reciprocating or rotary ), and consume energy to perform mechanical work by moving the fluid.","Pumps operate via many energy sources, including manual operation, electricity, engines , or wind power ."
What does Human sperm consist of?,"In humans, seminal fluid contains several components besides spermatozoa: proteolytic and other enzymes as well as fructose are elements of seminal fluid which promote the survival of spermatozoa and provide a medium through which they can move or ""swim"".","Semen, also known as seminal fluid, is an organic fluid that may contain spermatozoa ."
what does alkali do to liquids?,Some authors also define an alkali as a base that dissolves in water .,This broad use of the term is likely to have come about because alkalis were the first bases known to obey the Arrhenius definition of a base and are still among the more common bases.
how jameson irish whiskey is made,"Jameson is similar in its adherence to the single distillery principle to the single malt tradition, but Jameson blends column still spirit with Single pot still whiskey , a combination of malted barley with unmalted or ""green"" barley distilled in a pot still.",Jameson is a single distillery Irish whiskey produced by a division of the French distiller Pernod Ricard .
what does gloria in excelsis deo mean,"""Gloria in excelsis Deo"" ( Latin for ""Glory to God in the highest"") is a hymn known also as the Greater Doxology (as distinguished from the ""Minor Doxology"" or Gloria Patri ) and the Angelic Hymn.","It is an example of the psalmi idiotici (""private psalms"", i.e. compositions by individuals in imitation of the biblical Psalter ) that were popular in the 2nd and 3rd centuries."
how many grams in a troy ounce of gold,"The troy ounce is 480 grains, compared with the avoirdupois ounce, which is 4371⁄2 grains.",Troy weight is a system of units of mass customarily used for precious metals and gemstones .
how much of our universe does plasma make up,"In the universe , plasma is the most common state of matter for ordinary matter , most of which is in the rarefied intergalactic plasma (particularly intracluster medium ) and in stars.","Plasma (from Greek πλάσμα, ""anything formed"") is one of the four fundamental states of matter (the others being solid , liquid , and gas )."
what circuit court is maryland,The Circuit Courts of Maryland are the state trial courts of general jurisdiction in Maryland.,Probate and estate matters are handled by a separate Orphans' Court .
how often does ham station need to ID?,"Station identification used to be done regularly by an announcer at the halfway point during the presentation of a television program, or in between programs.","This may be to satisfy requirements of licensing authorities, a form of branding or a combination of both."
how many days are in a leap year,"For example, in the Gregorian calendar (a common solar calendar), February in a leap year has 29 days instead of the usual 28, so the year lasts 366 days instead of the usual 365.",A year that is not a leap year is called a common year .
HOW MUCH IS CENTAVOS IN MEXICO,"The peso is subdivided into 100 centavos, represented by "" ¢ "".",The literal English translation of the Spanish word peso is weight.
what county is bethlehem pa in,"Bethlehem is a city in Lehigh and Northampton Counties in the Lehigh Valley region of eastern Pennsylvania , in the United States.","The Valley embraces a trio of cities (Bethlehem, Allentown and Easton ) within two counties (Lehigh and Northampton), making it Pennsylvania's third-largest metropolitan area ."
what company is cricket wireless by,"The company is a subsidiary of Leap Wireless , utilizing its CDMA 1X, 1xEV-DO and LTE networks.",Leap Wireless owns and operates the seventh largest wireless telecommunications network in the United States.
how many numbers on a credit card,"An ISO/IEC 7812 card number is typically 16 digits in length, and consists of:","The bank card number merely identifies the card, which is then electronically associated by the issuing organisation with one of its customers and then to the customer's designated bank account /s."
what does hair testing show,"A drug test is a technical analysis of a biological specimen – for example urine, hair, blood, sweat, or oral fluid / saliva – to determine the presence or absence of specified parent drugs or their metabolites .",Barbiturates
How long was Mickie James with WWE?,"James appeared in World Wrestling Entertainment (WWE) in October 2005 and was placed in a storyline with Trish Stratus , in which James' gimmick was that of Stratus' biggest fan turned obsessed stalker, an angle which lasted almost a year.","She received a push , and she won her first WWE Women's Championship at WrestleMania 22 , a title she has held a total of five times."
how did John F. Kennedy die?,"Kennedy was assassinated on November 22, 1963 in Dallas , Texas.","John Fitzgerald ""Jack"" Kennedy (May 29, 1917 – November 22, 1963), often referred to by his initials JFK, was the 35th President of the United States , serving from 1961 until his death in 1963."
how many members are in the house of representatives,The total number of voting representatives is fixed by law at 435.,It is frequently referred to as the House.
what does uncle sam represent to the american people,"Uncle Sam (initials U.S.) is a common national personification of the American government that, according to legend, came into use during the War of 1812 and was supposedly named for Samuel Wilson .","For ’lasses cakes, to carry home"
what does karma mean in buddhism,"As one scholar states, ""the Buddhist theory of action and result (karmaphala) is fundamental to much of Buddhist doctrine, because it provides a coherent model of the functioning of the world and its beings, which in turn forms the doctrinal basis for the Buddhist explanations of the path of liberation from the world and its result, nirvāṇa .""","In the early texts it is not, however, the only causal mechanism influencing the lives of sentient beings."
how do insulin syringes work,"The plunger can be pulled and pushed along inside a cylindrical tube (called a barrel), allowing the syringe to take in and expel a liquid or gas through an at the open end of the tube.",A syringe is a simple pump consisting of a plunger that fits tightly in a tube.
how did david carradine die,"He died on June 3, 2009, apparently of auto-erotic asphyxiation .","A prolific ""B"" movie actor, he appeared in more than 100 feature films and was nominated four times for a Golden Globe Award ."
what causes a small bowel obstruction,"Bowel obstruction (or intestinal obstruction) is a mechanical or functional obstruction of the intestines, preventing the normal transit of the products of digestion.","Surgical procedures are performed on occasion however in life-threatening cases, such as when the root cause is a fully lodged foreign object or malignant tumor ."
how was the president involved in the gulf war,"U.S. President George H. W. Bush deployed U.S. forces into Saudi Arabia , and urged other countries to send their own forces to the scene.",Saudi Arabia paid around US$36 billion of the US$60 billion cost.
what county is bolingbrook il in?,Bolingbrook is a large village in Will and DuPage Counties in the U.S. state of Illinois .,"As of the 2010 US Census, the population is 73,366."
how many amendments in us,The Constitution has been amended seventeen additional times (for a total of twenty-seven amendments).,The Constitution of the United States is the supreme law of the United States of America .
How many Muslims live in the United Kingdom?,"The vast majority of Muslims in the United Kingdom live in England and Wales : of 1,591,000 Muslims recorded at the 2001 Census, 1,536,015 were living in England and Wales , where they formed 3% of the population in 2001; 42,557 were living in Scotland , forming 0.84% of the population; and 1,943 were living in Northern Ireland .","Islam has been present in the United Kingdom since its formation in 1707, though it was not legally recognised until the Trinitarian Act in 1812."
how many players on a side for a football game,"It is played by two teams, eleven players to a side, who advance an oval ball over a rectangular field that is 120 yards long by 53.3 yards wide and has goalposts at both ends.","The offense can score points by advancing the ball into the end zone (a touchdown ) or by kicking the ball through the opponent's goalpost (a field goal ), while the defense can score points by forcing an offensive turnover and advancing the ball into the offense's end zone or by tackling the ballcarrier in the offense's end zone (a safety )."
how long to take iwo jima,"The Battle of Iwo Jima (19 February – 26 March 1945), or Operation Detachment, was a major battle in which the United States Armed Forces fought for and captured the island of Iwo Jima from the Japanese Empire .","Of the 22,000 Japanese soldiers on Iwo Jima at the beginning of the battle, only 216 were taken prisoner."
what creates a cloud,"In meteorology , a cloud is a visible mass of liquid droplets or frozen crystals made of water or various chemicals suspended in the atmosphere above the surface of a planetary body.","While a majority of clouds form in Earth's troposphere, there are occasions when clouds in the stratosphere and mesosphere can be observed."
what day is 2011 super bowl?,"The game was played on February 6, 2011, at Cowboys Stadium in Arlington, Texas , the first time the Super Bowl was played in the Dallas–Fort Worth area.","Unlike other matchups, this game featured two title-abundant franchises: coming into the game, the Packers held the most NFL championships with 12 (9 league championships prior to the Super Bowl era and 3 Super Bowl championships), while the Steelers held the most Super Bowl championships with 6."
how many mvps has kobe bryant won,"He has won the All-Star MVP Award four times ( 2002 , 2007 , 2009 , and 2011 ), tying him for the most All Star MVP Awards in NBA history.",Sporting News and TNT named Bryant the top NBA player of the 2000s.
how many asian indians live in usa,"Indian Americans are citizens of the United States of Indian ancestry and comprise about 3.18 million people, or ~1.0% of the U.S. population, the country's third largest self-reported Asian ancestral group after Chinese Americans and Filipino Americans according to American Community Survey of 2010 data.",The U.S. Census Bureau uses the term Asian Indian to avoid confusion with the indigenous peoples of the Americas commonly referred to as American Indians .
what happened to george o'malley on grey's anatomy?,"Despite this, his death received mixed feedback.","The character was created by series producer Shonda Rhimes , and was portrayed by actor T. R. Knight from 2005 to 2009."
how much did yankee stadium cost,"Also controversial was the price tag of $1.5 billion, which makes it not only the most expensive baseball stadium ever built, but the second-most expensive stadium of any kind (after MetLife Stadium in East Rutherford, New Jersey ).",The stadium was built on what had been of public parkland.
What happened during the Starving Time in Jamestown?,Lack of access to water and a relatively dry rain season crippled the agricultural production of the colonists.,"On June 7, 1610 the survivors boarded ships, abandoned the colony site, and sailed towards the Chesapeake Bay , where another supply convoy with new supplies and headed by a newly appointed governor, Thomas West, Baron De La Warr , intercepted them on the lower James River and returned them to Jamestown."
what food is in afghan,"Accompanying these staples are dairy products ( yogurt and whey ), various nuts , and native vegetables, as well as fresh and dried fruits; Afghanistan is well known for its grapes .",Afghanistan 's culinary specialties reflect its ethnic and geographic diversity.
how kimberlite pipes form,Volcanic pipes are relatively rare.,They are considered to be a type of diatreme .
what county is coatesville indiana located in,"Coatesville is a town in Clay Township , Hendricks County , Indiana , United States .",The population was 523 at the 2010 Census .
what does continuous improvement mean,"A continual improvement process, also often called a continuous improvement process (abbreviated as CIP or CI), is an ongoing effort to improve products, services, or processes.","Delivery (customer valued) processes are constantly evaluated and improved in the light of their efficiency, effectiveness and flexibility."
